$ spack find --format "{name},{version},{compiler},{variants},{arch}"
libfabric,1.12.1,gcc@9.3.0,~kdreg fabrics=rxm,sockets,tcp,udp,linux-opensuse_leap15-x86_64
libffi,3.3,gcc@9.3.0, patches=26f26c6f29a7ce9bf370ad3ab2610f99365b4bdd7b82e7c31df41a3370d685c0,linux-opensuse_leap15-x86_64
libfontenc,1.1.3,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libgcrypt,1.9.3,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libgpg-error,1.42,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libiberty,2.33.1,gcc@9.3.0,+pic,linux-opensuse_leap15-x86_64
libice,1.0.9,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libiconv,1.16,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libidn2,2.3.0,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libjpeg-turbo,2.0.6,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libmng,2.0.3,gcc@9.3.0,~ipo build_type=RelWithDebInfo,linux-opensuse_leap15-x86_64
libmonitor,2021.04.27,gcc@9.3.0,~commrank~dlopen+hpctoolkit,linux-opensuse_leap15-x86_64
libnrm,0.1.0,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libpciaccess,0.16,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libpng,1.6.37,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libpthread-stubs,0.4,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libquo,1.3.1,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libsigsegv,2.12,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libsm,1.2.3,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libsodium,1.0.18,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libtiff,4.1.0,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libtool,2.4.6,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libunistring,0.9.10,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libunwind,1.5.0,gcc@9.3.0,+pic+xz~zlib,linux-opensuse_leap15-x86_64
libx11,1.7.0,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libxau,1.0.8,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libxcb,1.14,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libxdmcp,1.1.2,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libxext,1.3.3,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libxfont,1.5.2,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libxkbcommon,0.8.2,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libxkbfile,1.0.9,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libxml2,2.9.10,gcc@9.3.0,~python,linux-opensuse_leap15-x86_64
libxrender,0.9.10,gcc@9.3.0,,linux-opensuse_leap15-x86_64
libyogrt,1.24,gcc@9.3.0,~static scheduler=slurm,linux-opensuse_leap15-x86_64
libzmq,4.3.3,gcc@9.3.0,~drafts+libsodium,linux-opensuse_leap15-x86_64
llvm-amdgpu,4.2.0,gcc@9.3.0,~ipo+openmp build_type=Release patches=d999f3b235e655ee07f6dd2590302082feaa06d32c5c6b53aae9c5cf1e45b644,linux-opensuse_leap15-x86_64
loki,0.1.7,gcc@9.3.0,+shared,linux-opensuse_leap15-x86_64
lua,5.3.5,gcc@9.3.0,~pcfile+shared,linux-opensuse_leap15-x86_64
lwgrp,1.0.3,gcc@9.3.0,,linux-opensuse_leap15-x86_64
lz4,1.9.3,gcc@9.3.0, libs=shared,static,linux-opensuse_leap15-x86_64
lzo,2.10,gcc@9.3.0, libs=shared,static,linux-opensuse_leap15-x86_64
m4,1.4.18,gcc@9.3.0,+sigsegv patches=3877ab548f88597ab2327a2230ee048d2d07ace1062efe81fc92e91b7f39cd00,fc9b61654a3ba1a8d6cd78ce087e7c96366c290bc8d2c299f09828d793b853c8,linux-opensuse_leap15-x86_64
mbedtls,2.16.9,gcc@9.3.0,~ipo+pic build_type=Release,linux-opensuse_leap15-x86_64
mercury,1.0.1,gcc@9.3.0,+bmi+boostsys~cci+checksum~debug~ipo+mpi+ofi+shared+sm~udreg build_type=RelWithDebInfo patches=34fc95b3599c74a8cece6e873cfdc8bc0afe2dc0deabb6e2d11ea2a93f0cebf5,linux-opensuse_leap15-x86_64
mercury,2.0.1,gcc@9.3.0,~bmi+boostsys~cci+checksum~debug~ipo+mpi+ofi+shared+sm~udreg build_type=RelWithDebInfo,linux-opensuse_leap15-x86_64
mesa18,18.3.6,gcc@9.3.0,+glx~llvm~opengles+osmesa patches=55a5611ca9fcbe8324c4d68a07b338134954ff12c5b122dc78ff376f012a1414 swr=none,linux-opensuse_leap15-x86_64
meson,0.58.0,gcc@9.3.0, patches=aa6c50d5a2aeb1a487d16f6712be4357fefb923aae37ab830699b07338388287,linux-opensuse_leap15-x86_64
metall,0.13,gcc@9.3.0,~ipo build_type=RelWithDebInfo,linux-opensuse_leap15-x86_64
metis,5.1.0,gcc@9.3.0,~gdb~int64~real64+shared build_type=Release patches=4991da938c1d3a1d3dea78e49bbebecba00273f98df2a656e38b83d55b281da1,b1225da886605ea558db7ac08dd8054742ea5afe5ed61ad4d0fe7a495b1270d2,linux-opensuse_leap15-x86_64
mkfontdir,1.0.7,gcc@9.3.0,,linux-opensuse_leap15-x86_64
mkfontscale,1.1.2,gcc@9.3.0,,linux-opensuse_leap15-x86_64
mochi-margo,0.4.3,gcc@9.3.0,,linux-opensuse_leap15-x86_64
mpark-variant,1.4.0,gcc@9.3.0,~ipo build_type=RelWithDebInfo patches=21a4f8de3525204ee6db2e53758a3e3fd9c13817df29d2926d24376858a369e7,4e173fe8c853eb92956a40371688b4a19498189fe65b7ceac30f6b9d6663a985,b3501f726fd40129b4aaa11453a5891c8953a34af8ac84f5ab10a22afa5e7b9b,linux-opensuse_leap15-x86_64
mpfr,4.1.0,gcc@9.3.0,,linux-opensuse_leap15-x86_64
mpich,3.4.1,gcc@9.3.0,~argobots+fortran+hwloc+hydra+libxml2+pci+romio~slurm~verbs~wrapperrpath device=ch4 netmod=ofi pmi=pmi,linux-opensuse_leap15-x86_64
mpifileutils,0.11,gcc@9.3.0,~experimental~gpfs~lustre~xattr,linux-opensuse_leap15-x86_64
munge,0.5.14,gcc@9.3.0, localstatedir=PREFIX/var,linux-opensuse_leap15-x86_64
nasm,2.15.05,gcc@9.3.0,,linux-opensuse_leap15-x86_64
ncurses,6.2,gcc@9.3.0,~symlinks+termlib abi=none,linux-opensuse_leap15-x86_64
nettle,3.4.1,gcc@9.3.0,,linux-opensuse_leap15-x86_64
ninja,1.10.2,gcc@9.3.0,,linux-opensuse_leap15-x86_64
nlohmann-json,3.9.1,gcc@9.3.0,~ipo+single_header build_type=RelWithDebInfo,linux-opensuse_leap15-x86_64
numactl,2.0.14,gcc@9.3.0, patches=4e1d78cbbb85de625bad28705e748856033eaafab92a66dffd383a3d7e00cc94,62fc8a8bf7665a60e8f4c93ebbd535647cebf74198f7afafec4c085a8825c006,linux-opensuse_leap15-x86_64
openjdk,11.0.8_10,gcc@9.3.0,,linux-opensuse_leap15-x86_64
